_id,Collection_date,forcens_lat,forcens_long,ind_area,ind_area_log,ind_diam,IRN,Lat_decimal,Long_decimal,num_neighb_300km,ocean,pp_value,rel_abund_median_300km,rel_abund_nearest,Sea_Depth_meters,species,title_abbrev,tmn_0m,total_ind,Vessel,ZF_PF_no_
3027,01/02/1953,-14,-119.6,191910.7,12.16479,557.3397,5465609,-14.27333,-120.68,3,Pacific,375.8186,0.01183432,0.0115942,-3617,obliquiloculata,P. obliquiloculata,24.848,8,RV Horizon,6609
3120,29/07/2005,-5.716667,65.96667,190805.7,12.15901,525.4086,5465620,-8.41667,65.63333,1,Indian,484.0872,0.05263158,0.05263158,-3694,obliquiloculata,P. obliquiloculata,29.218,11,HMS Sealark,6620
2989,16/05/1955,-34,172,133593.9,11.80256,445.8327,5465423,-33.88333,173.8333,2,Pacific,367.9195,0.004901961,0,-2464,dutertrei,N. dutertrei,19.643,20,HMNZS Lachlan,6423
2005,31/01/1953,-13.9,-125.35,127223.8,11.7537,452.8543,5465268,-13.09167,-124.28,2,Pacific,400.7639,0.2823533,0.3216958,-3456,ruber,G. ruber,25.12,7,RV Horizon,6268
3246,20/09/1897,-15.15,-176.49,120281.1,11.69759,420.255,5465631,-13.17167,-175.6883,1,Pacific,289.0364,0,0,-3952,obliquiloculata,P. obliquiloculata,28.372,15,HMS Penguin,6631
3032,31/10/1957,5.433,-131.316,180841.1,12.10537,491.7253,5465610,5.43333,-131.3167,7,Pacific,555.1537,0.1386322,0.1616162,-3415,obliquiloculata,P. obliquiloculata,27.434,7,RV Spencer F. Baird,6610
3139,17/04/1891,-25.48333,110.0167,181946,12.11147,506.8436,5465622,-24.89167,110.3917,18,Indian,361.6253,0.008952748,0.02,-3829,obliquiloculata,P. obliquiloculata,24.117,17,HMS Penguin,6622
2995,14/02/1958,-11.7,-109.7167,151519.6,11.92847,482.7428,5465604,-11.7,-109.7167,4,Pacific,393.9678,0.06178648,0.06442577,-3296,obliquiloculata,P. obliquiloculata,24.776,1,RV Spencer F. Baird,6604
2008,01/02/1953,-14,-119.6,113485,11.63943,421.1015,5465269,-14.27333,-120.68,3,Pacific,375.8186,0.2869565,0.2869565,-3617,ruber,G. ruber,24.848,6,RV Horizon,6269
3250,20/09/1897,-15.15,-176.49,224001.2,12.31941,551.9271,5465631,-13.17167,-175.6883,1,Pacific,289.0364,0,0,-3952,obliquiloculata,P. obliquiloculata,28.372,15,HMS Penguin,6631
